ts	strategy	turns	trial	turn_index	is_final	expected	actual	exit_code	completed	input_tokens	cached_input_tokens	output_tokens	delta_input_tokens	note	thread_id
2026-02-11T08:33:27Z	snapshot	100	1	0	false	STORED	STORED	0	true	19083	3456	152		init_turn	019c4bd5-846b-7e73-a2c9-4798d012a7c7
2026-02-11T08:33:27Z	snapshot	100	1	1	false	ACK_1	ACK_1	0	true	18290	3456	79	-793	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	2	false	ACK_2	ACK_2	0	true	44240	21632	116	25950	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	3	false	ACK_3	ACK_3	0	true	77850	47488	153	33610	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	4	false	ACK_4	ACK_4	0	true	119120	81024	185	41270	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	5	false	ACK_5	ACK_5	0	true	168050	122240	236	48930	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	6	false	ACK_6	ACK_6	0	true	224640	125696	288	56590	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	7	false	ACK_7	ACK_7	0	true	288890	182144	333	64250	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	8	false	ACK_8	ACK_8	0	true	360800	246272	361	71910	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	9	false	ACK_9	ACK_9	0	true	440370	318080	384	79570	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	10	false	ACK_10	ACK_10	0	true	527600	397568	441	87230	ok	019c4bd5-b136-71d2-a478-22c50e5db257
2026-02-11T08:33:27Z	snapshot	100	1	11	false	ACK_11	ACK_11	0	true	18300	17792	122	-509300	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	12	false	ACK_12	ACK_12	0	true	44260	35968	215	25960	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	13	false	ACK_13	ACK_13	0	true	77880	61824	327	33620	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	14	false	ACK_14	ACK_14	0	true	119160	95360	406	41280	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	15	false	ACK_15	ACK_15	0	true	168100	136576	440	48940	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	16	false	ACK_16	ACK_16	0	true	224700	185472	484	56600	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	17	false	ACK_17	ACK_17	0	true	288960	242048	548	64260	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	18	false	ACK_18	ACK_18	0	true	360880	306176	624	71920	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	19	false	ACK_19	ACK_19	0	true	440460	377984	647	79580	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	20	false	ACK_20	ACK_20	0	true	527700	457472	717	87240	ok	019c4bd7-339f-7e30-84c7-1da2c5fdec19
2026-02-11T08:33:27Z	snapshot	100	1	21	false	ACK_21	ACK_21	0	true	18300	3456	83	-509400	ok	019c4bd8-eb62-71e1-ba60-cba2bf501f94
2026-02-11T08:33:27Z	snapshot	100	1	22	false	ACK_22	ACK_22	0	true	44260	6912	187	25960	ok	019c4bd8-eb62-71e1-ba60-cba2bf501f94
2026-02-11T08:33:27Z	snapshot	100	1	23	false	ACK_23	ACK_23	0	true	77880	25088	233	33620	ok	019c4bd8-eb62-71e1-ba60-cba2bf501f94
2026-02-11T08:33:27Z	snapshot	100	1	24	false	ACK_24	ACK_24	0	true	119160	58624	334	41280	ok	019c4bd8-eb62-71e1-ba60-cba2bf501f94
